OBJECTID,Incident_Num,Shooting_Date,District,Shooting_Type_V2,Victim_Gender,Victim_Race,Victim_Ethnicity_NIBRS,Multi_Victim,IsPrimaryIncident,HOUR_OF_DAY,DAY_OF_WEEK,YEAR,QUARTER,MONTH,NEIGHBORHOOD
1946,I152041784-00,2015/05/21 21:56:00+00,B3,Non-Fatal,Male,Black or African American,Not Hispanic or Latinx,0,1,17,5,2015,2,5,Dorchester
1947,I152041857-00,2015/05/22 01:00:00+00,B3,Non-Fatal,Female,Black or African American,Not Hispanic or Latinx,0,1,21,5,2015,2,5,Mattapan
1948,I152042211-00,2015/05/23 04:50:09+00,B2,Fatal,Male,Black or African American,Not Hispanic or Latinx,0,1,0,7,2015,2,5,Roxbury
1949,I152042681-00,2015/05/24 20:16:27+00,C11,Non-Fatal,Male,Black or African American,Not Hispanic or Latinx,1,1,16,1,2015,2,5,Dorchester
1950,I152042637-00,2015/05/24 20:16:30+00,C11,Non-Fatal,Male,White,Hispanic or Latinx,1,0,16,1,2015,2,5,Dorchester
1951,I152042638-00,2015/05/24 20:23:11+00,B3,Non-Fatal,Male,Black or African American,Not Hispanic or Latinx,0,1,16,1,2015,2,5,Dorchester
1952,I152042765-00,2015/05/25 05:15:36+00,E13,Non-Fatal,Male,White,Hispanic or Latinx,0,1,1,2,2015,2,5,Jamaica Plain
1953,I152043193-00,2015/05/26 17:33:00+00,C11,Non-Fatal,Male,Black or African American,Not Hispanic or Latinx,0,1,13,3,2015,2,5,Dorchester
1954,I152044761-00,2015/05/30 23:22:00+00,B3,Non-Fatal,Male,Black or African American,Not Hispanic or Latinx,0,1,19,7,2015,2,5,Dorchester
1955,I152044549-00,2015/05/30 06:48:00+00,A1,Non-Fatal,Male,Black or African American,Not Hispanic or Latinx,0,1,2,7,2015,2,5,Downtown
1956,I152044413-00,2015/05/29 22:00:00+00,A7,Non-Fatal,Female,White,Hispanic or Latinx,0,1,18,6,2015,2,5,East Boston
1957,I152045258,2015/06/01 18:42:00+00,B3,Non-Fatal,Male,Black or African American,Not Hispanic or Latinx,0,1,14,2,2015,2,6,Dorchester
1958,I152047934,2015/06/10 09:06:00+00,C11,Non-Fatal,Male,Black or African American,Not Hispanic or Latinx,0,1,5,4,2015,2,6,Dorchester
1959,I152048250,2015/06/11 03:44:00+00,C11,Non-Fatal,Male,Black or African American,Not Hispanic or Latinx,1,1,23,4,2015,2,6,Dorchester
1960,I152048254,2015/06/11 03:44:00+00,C11,Non-Fatal,Male,Black or African American,Not Hispanic or Latinx,1,0,23,4,2015,2,6,Dorchester
1961,I152048199,2015/06/10 23:53:00+00,B3,Fatal,Male,Black or African American,Not Hispanic or Latinx,0,1,19,4,2015,2,6,Dorchester
1962,I152048592,2015/06/12 08:13:42+00,D4,Non-Fatal,Male,Black or African American,Not Hispanic or Latinx,0,1,4,6,2015,2,6,Roxbury
1963,I152048902,2015/06/13 04:42:00+00,B3,Non-Fatal,Male,Black or African American,Not Hispanic or Latinx,0,1,0,7,2015,2,6,Dorchester
1964,I152049143,2015/06/14 00:40:00+00,E13,Non-Fatal,Male,White,Hispanic or Latinx,0,1,20,7,2015,2,6,Jamaica Plain
1965,I152050036,2015/06/17 00:41:00+00,B2,Non-Fatal,Male,Black or African American,Not Hispanic or Latinx,1,1,20,3,2015,2,6,Dorchester
1966,I152050036,2015/06/17 00:41:00+00,B2,Non-Fatal,Male,Black or African American,Not Hispanic or Latinx,1,0,20,3,2015,2,6,Dorchester
1967,I152050036,2015/06/17 00:41:00+00,B2,Non-Fatal,Male,Asian,Not Hispanic or Latinx,1,0,20,3,2015,2,6,Dorchester
1968,I152050961,2015/06/20 01:20:00+00,B2,Non-Fatal,Male,Black or African American,Hispanic or Latinx,0,1,21,6,2015,2,6,Roxbury
1969,I152051161,2015/06/20 20:00:00+00,B2,Non-Fatal,Male,Black or African American,Not Hispanic or Latinx,0,1,16,7,2015,2,6,Dorchester
1970,I152052391,2015/06/24 23:44:00+00,C11,Non-Fatal,Male,Black or African American,Not Hispanic or Latinx,0,1,19,4,2015,2,6,Dorchester
1971,I152052766,2015/06/26 06:08:00+00,B2,Non-Fatal,Male,Black or African American,Hispanic or Latinx,0,1,2,6,2015,2,6,Roxbury
1972,I152052674,2015/06/25 22:28:00+00,B3,Non-Fatal,Male,Black or African American,Not Hispanic or Latinx,0,1,18,5,2015,2,6,Dorchester
1973,I152053353,2015/06/28 03:41:00+00,C11,Non-Fatal,Male,Black or African American,Not Hispanic or Latinx,0,1,23,7,2015,2,6,Dorchester
1974,I152053302,2015/06/27 23:38:00+00,B3,Non-Fatal,Male,Black or African American,Not Hispanic or Latinx,0,1,19,7,2015,2,6,Dorchester
1975,I152053337,2015/06/28 02:59:00+00,E13,Non-Fatal,Male,Black or African American,Not Hispanic or Latinx,0,1,22,7,2015,2,6,Jamaica Plain
1976,I152054324,2015/07/01 18:30:00+00,B3,Non-Fatal,Male,Black or African American,Not Hispanic or Latinx,0,1,14,4,2015,3,7,Mattapan
1977,I152054787,2015/07/03 03:08:00+00,B2,Fatal,Male,Black or African American,Hispanic or Latinx,1,1,23,5,2015,3,7,Roxbury
1978,I152054787,2015/07/03 03:08:00+00,B2,Non-Fatal,Male,Black or African American,Not Hispanic or Latinx,1,0,23,5,2015,3,7,Roxbury
1979,I152054740,2015/07/02 22:23:00+00,B3,Non-Fatal,Male,Black or African American,Hispanic or Latinx,1,1,18,5,2015,3,7,Dorchester
1980,I152054740,2015/07/02 22:23:00+00,B3,Non-Fatal,Male,Black or African American,Not Hispanic or Latinx,1,0,18,5,2015,3,7,Dorchester
1981,I152055092,2015/07/04 05:36:00+00,C11,Non-Fatal,Male,White,Hispanic or Latinx,1,1,1,7,2015,3,7,Dorchester
1982,I152055092,2015/07/04 05:36:00+00,C11,Non-Fatal,Male,White,Hispanic or Latinx,1,0,1,7,2015,3,7,Dorchester
1983,I152055102,2015/07/04 06:19:00+00,E13,Non-Fatal,Male,White,Hispanic or Latinx,1,1,2,7,2015,3,7,Jamaica Plain
1984,I152055311,2015/07/05 02:47:00+00,B2,Fatal,Male,Black or African American,Not Hispanic or Latinx,1,1,22,7,2015,3,7,Roxbury
1985,I152055311,2015/07/05 02:47:00+00,B2,Non-Fatal,Male,Black or African American,Not Hispanic or Latinx,1,0,22,7,2015,3,7,Roxbury
1986,I152055319,2015/07/05 04:40:00+00,B2,Non-Fatal,Female,Black or African American,Not Hispanic or Latinx,1,1,0,1,2015,3,7,Roxbury
1987,I152055319,2015/07/05 04:40:00+00,B2,Non-Fatal,Female,Black or African American,Not Hispanic or Latinx,1,0,0,1,2015,3,7,Roxbury
1988,I150356925,2015/07/04 07:15:00+00,E13,Non-Fatal,Male,Black or African American,Not Hispanic or Latinx,1,0,3,7,2015,3,7,Roxbury
1989,I152055577,2015/07/06 03:39:13+00,B2,Non-Fatal,Male,White,Hispanic or Latinx,0,1,23,1,2015,3,7,Roxbury
1990,I152055608,2015/07/06 07:29:00+00,C6,Non-Fatal,Male,White,Hispanic or Latinx,0,1,3,2,2015,3,7,South Boston
1991,I152056444,2015/07/08 21:50:00+00,B2,Non-Fatal,Male,Black or African American,Not Hispanic or Latinx,0,1,17,4,2015,3,7,Roxbury
1992,I150373043,2015/07/11 21:57:00+00,C11,Fatal,Male,Black or African American,Not Hispanic or Latinx,0,1,17,7,2015,3,7,Dorchester
1993,I152057410,2015/07/12 02:50:00+00,B3,Non-Fatal,Male,Black or African American,Not Hispanic or Latinx,0,1,22,7,2015,3,7,Mattapan
1994,I152057392,2015/07/12 02:14:00+00,B2,Non-Fatal,Male,Black or African American,Not Hispanic or Latinx,0,1,22,7,2015,3,7,Roxbury
1995,I152057567,2015/07/12 20:25:00+00,B2,Non-Fatal,Male,Black or African American,Not Hispanic or Latinx,0,1,16,1,2015,3,7,Dorchester
1996,I152057685,2015/07/13 16:33:00+00,B2,Non-Fatal,Male,Black or African American,Not Hispanic or Latinx,0,1,12,2,2015,3,7,Roxbury
1997,I152057684,2015/07/13 03:47:00+00,B2,Non-Fatal,Female,Black or African American,Not Hispanic or Latinx,1,1,23,1,2015,3,7,Dorchester
1998,I152057684,2015/07/13 03:47:00+00,B2,Non-Fatal,Male,Black or African American,Not Hispanic or Latinx,1,0,23,1,2015,3,7,Dorchester
1999,I152058305,2015/07/14 22:52:00+00,B3,Non-Fatal,Male,Black or African American,Not Hispanic or Latinx,0,1,18,3,2015,3,7,Dorchester
2000,I152059221,2015/07/18 00:05:00+00,E13,Non-Fatal,Male,Black or African American,Not Hispanic or Latinx,0,1,20,6,2015,3,7,Jamaica Plain
2001,I152059273,2015/07/18 03:57:00+00,B3,Non-Fatal,Male,Black or African American,Not Hispanic or Latinx,1,1,23,6,2015,3,7,Dorchester
2002,I152059273,2015/07/18 03:57:00+00,B3,Non-Fatal,Male,Black or African American,Not Hispanic or Latinx,1,0,23,6,2015,3,7,Dorchester
2003,I152059526,2015/07/19 04:09:00+00,B3,Non-Fatal,Male,Black or African American,Not Hispanic or Latinx,0,1,0,1,2015,3,7,Dorchester
2004,I152060108,2015/07/21 03:06:00+00,B2,Non-Fatal,Male,Black or African American,Not Hispanic or Latinx,0,1,23,2,2015,3,7,Roxbury
2005,I152059883,2015/07/20 14:35:00+00,E5,Fatal,Male,White,Hispanic or Latinx,0,1,10,2,2015,3,7,Roslindale
2006,I152060642,2015/07/22 22:56:00+00,B3,Non-Fatal,Female,Black or African American,Not Hispanic or Latinx,0,1,18,4,2015,3,7,Dorchester
2007,I152061055,2015/07/24 05:30:00+00,E13,Non-Fatal,Male,White,Hispanic or Latinx,0,1,1,6,2015,3,7,Jamaica Plain
2008,I152061546,2015/07/25 19:26:00+00,B2,Non-Fatal,Male,Black or African American,Not Hispanic or Latinx,1,1,15,7,2015,3,7,Roxbury
2009,I152061546,2015/07/25 19:26:00+00,B2,Non-Fatal,Male,Black or African American,Not Hispanic or Latinx,1,0,15,7,2015,3,7,Roxbury
2010,I152062504,2015/07/29 02:32:00+00,B2,Fatal,Female,Black or African American,Hispanic or Latinx,0,1,22,3,2015,3,7,Dorchester
2011,I152061904,2015/07/27 04:09:00+00,B3,Non-Fatal,Male,Black or African American,Not Hispanic or Latinx,1,1,0,2,2015,3,7,Mattapan
2012,I152061904,2015/07/27 04:09:00+00,B3,Non-Fatal,Female,Black or African American,Not Hispanic or Latinx,1,0,0,2,2015,3,7,Mattapan
2013,I152061904,2015/07/27 04:09:00+00,B3,Non-Fatal,Female,Black or African American,Not Hispanic or Latinx,1,0,0,2,2015,3,7,Mattapan
2014,I152058960,2015/07/17 03:32:00+00,B2,Non-Fatal,Male,Black or African American,Hispanic or Latinx,1,1,23,5,2015,3,7,Mission Hill
2015,I152058960,2015/07/17 03:32:00+00,B2,Non-Fatal,Male,Black or African American,Not Hispanic or Latinx,1,0,23,5,2015,3,7,Mission Hill
2016,I152062772,2015/07/30 01:15:00+00,B2,Non-Fatal,Male,Black or African American,Not Hispanic or Latinx,1,1,21,4,2015,3,7,Roxbury
2017,I152062772,2015/07/30 01:15:00+00,B2,Non-Fatal,Male,Black or African American,Not Hispanic or Latinx,1,0,21,4,2015,3,7,Roxbury
2018,I152063927,2015/08/03 03:42:00+00,E13,Non-Fatal,Male,Black or African American,Not Hispanic or Latinx,0,1,23,1,2015,3,8,Jamaica Plain
2019,I152063597,2015/08/01 22:08:00+00,B2,Non-Fatal,Male,Black or African American,Not Hispanic or Latinx,0,1,18,7,2015,3,8,Roxbury
2020,I152063708,2015/08/02 07:38:00+00,C11,Non-Fatal,Male,Black or African American,Not Hispanic or Latinx,0,1,3,1,2015,3,8,Dorchester
2021,I152064063,2015/08/03 16:43:00+00,B2,Non-Fatal,Male,Black or African American,Not Hispanic or Latinx,1,1,12,2,2015,3,8,Roxbury
2022,I152064063,2015/08/03 16:43:00+00,B2,Non-Fatal,Female,Black or African American,Not Hispanic or Latinx,1,0,12,2,2015,3,8,Roxbury
2023,I152064063,2015/08/03 16:43:00+00,B2,Non-Fatal,Female,Black or African American,Not Hispanic or Latinx,1,0,12,2,2015,3,8,Roxbury
2024,I152065478,2015/08/08 06:15:00+00,B2,Non-Fatal,Male,Black or African American,Not Hispanic or Latinx,0,1,2,7,2015,3,8,Mission Hill
2025,I152065459,2015/08/08 04:01:00+00,B3,Non-Fatal,Male,Black or African American,Not Hispanic or Latinx,0,1,0,7,2015,3,8,Mattapan
2026,I152065731,2015/08/09 05:04:00+00,B2,Non-Fatal,Female,White,Hispanic or Latinx,0,1,1,1,2015,3,8,Roxbury
2027,I152066828,2015/08/13 02:14:00+00,E13,Fatal,Male,Black or African American,Not Hispanic or Latinx,1,1,22,4,2015,3,8,Jamaica Plain
2028,I152066828,2015/08/13 02:14:00+00,E13,Fatal,Male,White,Hispanic or Latinx,1,0,22,4,2015,3,8,Jamaica Plain
2029,I152066849,2015/08/12 16:32:03+00,E13,Non-Fatal,Male,Black or African American,Not Hispanic or Latinx,1,0,12,4,2015,3,8,Jamaica Plain
2030,I152066827,2015/08/13 02:18:00+00,B3,Non-Fatal,Male,Black or African American,Not Hispanic or Latinx,1,0,22,4,2015,3,8,Mattapan
2031,I152066827,2015/08/13 02:18:00+00,B3,Non-Fatal,Male,Black or African American,Not Hispanic or Latinx,1,1,22,4,2015,3,8,Mattapan
2032,I152066827,2015/08/13 02:18:00+00,B3,Fatal,Male,Black or African American,Not Hispanic or Latinx,1,0,22,4,2015,3,8,Mattapan
2033,I152067124,2015/08/14 03:35:00+00,C11,Non-Fatal,Female,Black or African American,Not Hispanic or Latinx,1,1,23,5,2015,3,8,Dorchester
2034,I152067124,2015/08/14 03:35:00+00,C11,Non-Fatal,Male,Black or African American,Not Hispanic or Latinx,1,0,23,5,2015,3,8,Dorchester
2035,I152067039,2015/08/13 20:35:00+00,C11,Non-Fatal,Male,Black or African American,Not Hispanic or Latinx,0,1,16,5,2015,3,8,Dorchester
2036,I152068253,2015/08/18 04:01:00+00,B2,Non-Fatal,Male,Black or African American,Not Hispanic or Latinx,0,1,0,3,2015,3,8,Dorchester
2037,I152067782,2015/08/16 16:23:00+00,C6,Non-Fatal,Male,Black or African American,Not Hispanic or Latinx,0,1,12,1,2015,3,8,South Boston
2038,I152067431,2015/08/15 04:30:00+00,E13,Non-Fatal,Male,Black or African American,Not Hispanic or Latinx,1,1,0,7,2015,3,8,Jamaica Plain
2039,I152067431,2015/08/15 04:30:00+00,E13,Non-Fatal,Male,White,Hispanic or Latinx,1,0,0,7,2015,3,8,Jamaica Plain
2040,I152067405,2015/08/15 01:43:00+00,C11,Non-Fatal,Male,Black or African American,Not Hispanic or Latinx,0,1,21,6,2015,3,8,Dorchester
2041,I152068856,2015/08/20 05:10:00+00,E13,Non-Fatal,Male,White,Hispanic or Latinx,0,1,1,5,2015,3,8,Jamaica Plain
2042,I152068848,2015/08/20 19:39:53+00,E5,Non-Fatal,Male,White,Hispanic or Latinx,0,1,15,5,2015,3,8,West Roxbury
2043,I152069800,2015/08/23 05:45:00+00,C11,Non-Fatal,Male,Black or African American,Not Hispanic or Latinx,0,1,1,1,2015,3,8,Dorchester
2044,I152070024,2015/08/24 04:57:02+00,B2,Non-Fatal,Male,Black or African American,Not Hispanic or Latinx,0,1,0,2,2015,3,8,Roxbury
2045,I152070281,2015/08/25 01:55:00+00,C11,Non-Fatal,Female,Black or African American,Hispanic or Latinx,0,1,21,2,2015,3,8,Dorchester
2046,I152071596,2015/08/29 06:42:00+00,B2,Fatal,Male,Black or African American,Not Hispanic or Latinx,1,1,2,7,2015,3,8,Dorchester
2047,I152071596,2015/08/29 06:42:00+00,B2,Non-Fatal,Male,Black or African American,Not Hispanic or Latinx,1,0,2,7,2015,3,8,Dorchester
2048,I152071596,2015/08/29 06:42:00+00,B2,Non-Fatal,Male,Black or African American,Not Hispanic or Latinx,1,0,2,7,2015,3,8,Dorchester
2049,I152071596,2015/08/29 06:42:00+00,B2,Non-Fatal,Male,Black or African American,Not Hispanic or Latinx,1,0,2,7,2015,3,8,Dorchester
2050,I152071585,2015/08/29 05:46:00+00,B3,Non-Fatal,Male,Black or African American,Not Hispanic or Latinx,0,1,1,7,2015,3,8,Mattapan
2051,I152071601,2015/08/29 06:32:00+00,C11,Non-Fatal,Male,Black or African American,Not Hispanic or Latinx,0,1,2,7,2015,3,8,Dorchester
2052,I152073939,2015/09/06 05:14:00+00,B2,Non-Fatal,Male,Black or African American,Not Hispanic or Latinx,0,1,1,1,2015,3,9,Dorchester
2053,I152073942,2015/09/06 05:54:00+00,D4,Non-Fatal,Female,Black or African American,Not Hispanic or Latinx,1,1,1,1,2015,3,9,Fenway
2054,I152073942,2015/09/06 05:54:00+00,D4,Non-Fatal,Female,Black or African American,Not Hispanic or Latinx,1,0,1,1,2015,3,9,Fenway
2055,I152075106,2015/09/10 08:38:00+00,B2,Fatal,Male,Black or African American,Not Hispanic or Latinx,0,1,4,5,2015,3,9,Roxbury
